Name,Quantity,Price,Link
Gateron G Pro 3.0 Red,70,€22.26,ali
M2 screws,4,€2.36,ali
M2 Heatsets,4,€4.03,ali
Diodes,68,€1.38,ali
Nice Nano dupe,1,€10.65,ali
MCP23017_SP,1,€5.38,ali
Hot swap sockets,68,€10.01,ali
pcb,5,€16.33,n/a
keycaps,1,€22.62,https://www.aliexpress.com/item/1005008049516517.html?spm=a2g0o.productlist.main.7.10b069546DFMLj&algo_pvid=804c14ec-0d8e-4f0b-bc79-14bdb5ce7ff8&algo_exp_id=804c14ec-0d8e-4f0b-bc79-14bdb5ce7ff8-6&pdp_ext_f=%7B%22order%22%3A%22110%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21EUR%2116.55%2110.82%21%21%21135.18%2188.41%21%40211b81a317553510837492085e8c96%2112000043433491718%21sea%21LT%210%21ABX%211%210%21m03_new_user%3A-29895%3Bn_tag%3A-29910%3BpisId%3A5000000174211184&curPageLogUid=oB5lUzq4KaoT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008049516517%7C_p_origin_prod%3A
TOTAL,,€95.02,
